card_id,account_id,customer_id,card_token,card_network,card_type,status,issued_at,expires_on
CRD00000001,ACC00000001,CUS0000001,tok_meridian_000000000001,MASTERCARD,DEBIT,ACTIVE,2020-11-23T12:00:00+00:00,2029-10-20
CRD00000002,ACC00000002,CUS0000002,tok_meridian_000000000002,MASTERCARD,DEBIT,ACTIVE,2020-02-09T12:00:00+00:00,2029-07-02
CRD00000003,ACC00000003,CUS0000003,tok_meridian_000000000003,RUPAY,DEBIT,ACTIVE,2021-02-10T12:00:00+00:00,2029-12-15
CRD00000004,ACC00000004,CUS0000004,tok_meridian_000000000004,VISA,DEBIT,ACTIVE,2025-12-21T12:00:00+00:00,2029-04-11
CRD00000005,ACC00000005,CUS0000005,tok_meridian_000000000005,VISA,DEBIT,ACTIVE,2019-08-19T12:00:00+00:00,2028-06-26
CRD00000006,ACC00000006,CUS0000006,tok_meridian_000000000006,VISA,DEBIT,ACTIVE,2026-03-05T12:00:00+00:00,2027-11-24
CRD00000007,ACC00000007,CUS0000007,tok_meridian_000000000007,MASTERCARD,CREDIT,ACTIVE,2017-09-22T12:00:00+00:00,2029-04-28
CRD00000008,ACC00000008,CUS0000008,tok_meridian_000000000008,VISA,CREDIT,ACTIVE,2017-01-08T12:00:00+00:00,2028-06-14
CRD00000009,ACC00000009,CUS0000009,tok_meridian_000000000009,VISA,DEBIT,ACTIVE,2017-09-21T12:00:00+00:00,2029-01-22
CRD00000010,ACC00000010,CUS0000009,tok_meridian_000000000010,VISA,DEBIT,ACTIVE,2017-10-02T12:00:00+00:00,2029-12-03
CRD00000011,ACC00000011,CUS0000010,tok_meridian_000000000011,VISA,DEBIT,ACTIVE,2018-03-25T12:00:00+00:00,2030-01-06
CRD00000012,ACC00000012,CUS0000011,tok_meridian_000000000012,VISA,CREDIT,ACTIVE,2017-02-18T12:00:00+00:00,2030-02-12
CRD00000013,ACC00000013,CUS0000012,tok_meridian_000000000013,VISA,DEBIT,ACTIVE,2025-12-06T12:00:00+00:00,2029-10-02
CRD00000014,ACC00000014,CUS0000013,tok_meridian_000000000014,MASTERCARD,DEBIT,BLOCKED,2019-09-14T12:00:00+00:00,2030-05-03
CRD00000015,ACC00000015,CUS0000014,tok_meridian_000000000015,VISA,DEBIT,ACTIVE,2023-10-28T12:00:00+00:00,2028-02-29
CRD00000016,ACC00000016,CUS0000015,tok_meridian_000000000016,RUPAY,DEBIT,ACTIVE,2023-01-19T12:00:00+00:00,2028-02-04
CRD00000017,ACC00000017,CUS0000015,tok_meridian_000000000017,VISA,DEBIT,ACTIVE,2023-01-15T12:00:00+00:00,2027-10-04
CRD00000018,ACC00000018,CUS0000016,tok_meridian_000000000018,MASTERCARD,CREDIT,ACTIVE,2017-06-19T12:00:00+00:00,2029-09-16
CRD00000019,ACC00000019,CUS0000016,tok_meridian_000000000019,VISA,DEBIT,ACTIVE,2017-06-15T12:00:00+00:00,2028-09-06
CRD00000020,ACC00000020,CUS0000017,tok_meridian_000000000020,VISA,DEBIT,ACTIVE,2024-05-29T12:00:00+00:00,2028-08-06
CRD00000021,ACC00000021,CUS0000018,tok_meridian_000000000021,VISA,DEBIT,ACTIVE,2025-06-07T12:00:00+00:00,2030-07-25
CRD00000022,ACC00000022,CUS0000019,tok_meridian_000000000022,RUPAY,DEBIT,ACTIVE,2025-07-05T12:00:00+00:00,2030-08-17
CRD00000023,ACC00000023,CUS0000020,tok_meridian_000000000023,MASTERCARD,DEBIT,ACTIVE,2024-01-05T12:00:00+00:00,2030-07-09
CRD00000024,ACC00000024,CUS0000021,tok_meridian_000000000024,MASTERCARD,DEBIT,ACTIVE,2023-04-04T12:00:00+00:00,2028-08-21
CRD00000025,ACC00000025,CUS0000022,tok_meridian_000000000025,VISA,DEBIT,ACTIVE,2017-07-29T12:00:00+00:00,2030-02-13
CRD00000026,ACC00000026,CUS0000023,tok_meridian_000000000026,MASTERCARD,DEBIT,ACTIVE,2016-10-20T12:00:00+00:00,2029-08-10
CRD00000027,ACC00000027,CUS0000024,tok_meridian_000000000027,RUPAY,DEBIT,ACTIVE,2020-03-27T12:00:00+00:00,2027-09-09
